1936,"""When Did You Leave Heaven"" from Sing, Baby, Sing",Music by Richard A. Whiting; Lyrics by Walter Bullock
1936,Anthony Adverse ,Warner Brothers
1936,Dodsworth ,Samuel Goldwyn Productions
1936,The Great Ziegfeld ,Metro-Goldwyn-Mayer
1936,Libeled Lady ,Metro-Goldwyn-Mayer
1936,Mr. Deeds Goes to Town ,Columbia
1936,Romeo and Juliet ,Metro-Goldwyn-Mayer
1936,San Francisco ,Metro-Goldwyn-Mayer
1936,The Story of Louis Pasteur ,Cosmopolitan
1936,A Tale of Two Cities ,Metro-Goldwyn-Mayer
1936,Three Smart Girls ,Universal
1936,The Country Cousin ,"Walt Disney, Producer"
1936,Old Mill Pond ,Harman-Ising
1936,Sinbad the Sailor ,Paramount
1936,Give Me Liberty ,Warner Brothers
1936,La Fiesta de Santa Barbara ,"Lewis Lewyn, Producer"
1936,Popular Science J-6-2 ,Paramount
1936,Bored of Education ,"Hal Roach, Producer"
1936,Moscow Moods ,Paramount
1936,"Wanted, a Master ","Pete Smith, Producer"
1936,Double or Nothing ,Warner Brothers
1936,Dummy Ache ,RKO Radio
1936,The Public Pays ,Metro-Goldwyn-Mayer
1936,Banjo on My Knee ,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director"
1936,The Charge of the Light Brigade ,"Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director"
1936,Dodsworth ,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director"
1936,General Spanky ,"Hal Roach Studio Sound Department, Elmer A. Raguse, Sound Director"
